job_id,source,title,company,matched_skills,description_summary
li_4120827281,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4120825428,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4434658960,linkedin,Data Scientist,KNOWFINITY,"[""AI Application"", ""Classification"", ""Clustering"", ""Dashboard & Reporting"", ""Decision Tree/KNN/SVM"", ""Java/Python"", ""Machine Learning"", ""Neural Network"", ""Performance Measurement"", ""Predictive Modeling"", ""SQL"", ""Usability Testing""]","The ideal candidate should have hands-on experience in statistical analysis, predictive modeling, machine learning, and transforming complex data into actionable business insights within a fast-paced product environment. Preferred - Experience working in a product-based company. - Exposure to Generative AI, NLP, and Large Language Models (LLMs). - Experience with Spark, Databricks, and big data technologies. - Familiarity with MLOps tools and model deployment practices. - Experience with A/B..."
li_4401794091,linkedin,Data Scientist,Samba,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Usability Testing""]","This is emphatically a coding role &mdash; you will spend the majority of your time writing production-quality Python, building and evaluating models on large-scale viewership and web data, and delivering end-to-end ML solutions. For residents of the EU , Samba Inc. is the data controller. We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses."
li_4429972354,linkedin,Sr. Data Scientist,Roku,"[""Dashboard & Reporting"", ""Java/Python"", ""SQL"", ""Usability Testing""]","About the role Roku is looking for a Senior Data Scientist to join the Core Analytics team supporting UI Originals initiatives. In this role, you will support the UI Originals team by applying data science and analytics to shape content experiences that are uniquely Roku. The Roku Culture Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own."
li_4120823579,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4427574690,linkedin,"Data Scientist, Applied Science",Future Secure AI,"[""Algorithm Design"", ""Classification"", ""Clustering"", ""Java/Python"", ""Machine Learning"", ""Usability Testing""]","About the Company At Future Secure AI, we're building something genuinely new — and we're looking for people bold enough to build it with us. As an Applied Scientist, you will be a key contributor to the development and improvement of the AI models that power FutureSecure.ai’s proactive intelligence capabilities. You’ll work alongside a team of experienced engineers and scientists, applying machine learning, data mining, and statistical analysis to build, deploy, and optimize our platform for..."
li_4434673373,linkedin,Data Scientist,KNOWFINITY,"[""AI Application"", ""Classification"", ""Clustering"", ""Dashboard & Reporting"", ""Decision Tree/KNN/SVM"", ""Java/Python"", ""Machine Learning"", ""Neural Network"", ""Performance Measurement"", ""Predictive Modeling"", ""SQL"", ""Usability Testing""]","The ideal candidate should have hands-on experience in statistical analysis, predictive modeling, machine learning, and transforming complex data into actionable business insights within a fast-paced product environment. Preferred - Experience working in a product-based company. - Exposure to Generative AI, NLP, and Large Language Models (LLMs). - Experience with Spark, Databricks, and big data technologies. - Familiarity with MLOps tools and model deployment practices. - Experience with A/B..."
li_4396770301,linkedin,"Data Scientist 5, Experimentation Platform",Netflix,"[""Java/Python"", ""SQL""]","Because experimentation is so pervasive at Netflix, we continually enable new capabilities and onboard new initiatives to the platform with close cross-functional collaboration with our Data Science partners. At the nerve center of experimentation at Netflix is our internal, Netflix-wide, Experimentation Platform, responsible for democratizing trustworthy experiments across the company and enabling new capabilities across the company. Read up on experimentation culture at Netflix and browse the..."
li_4432422153,linkedin,Data Scientist,Bread Financial,"[""Java/Python"", ""Machine Learning"", ""Predictive Modeling""]",Job Summary The Data Science role at Bread Financial delivers best-in-class actionable business insights through cutting-edge predictive models and data science techniques. Associates (except those located in Illinois) receive 80 hours of Paid Sick and Safe Time (“PSST”) upon hire and at the beginning of each subsequent calendar year. Bread Financial proudly marks 30 years of success in 2026.
li_4436468459,linkedin,Machine Learning Engineer,Rolls-Royce,"[""AI Application"", ""Machine Learning""]","Job Description Job Title: Machine Learning Engineer Working Pattern: Full-time Working location: Indianapolis, IN (Hybrid Schedule/3 days onsite minimum) We’re looking for a Machine Learning Engineer to join our growing team. You’ll be part of a multi-disciplinary team, working together to tackle technical challenges in a stimulating and collaborative environment. This ranking highlights our commitment to innovation, employee development, and fostering a collaborative environment where..."
li_4120822583,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4425297677,linkedin,Data Scientist,Google,"[""Data Structure"", ""Java/Python"", ""SQL""]","About The Job At YouTube, we believe that everyone deserves to have a voice, and that the world is a better place when we listen, share, and build community through our stories. We work together to give everyone the power to share their story, explore what they love, and connect with one another in the process. Position reports to the Google San Bruno, CA office & may allow for a hybrid schedule as per Google policy."
li_4120829002,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4435831391,linkedin,"Business Data Scientist, YouTube Marketing",Google,"[""Java/Python"", ""Machine Learning"", ""SQL""]","Minimum qualifications: - Bachelor's degree in Statistics, Data Science, Mathematics, Physics, Economics, Operations Research, Engineering, a related quantitative field, or equivalent practical experience. - Experience conducting regression analysis. Preferred qualifications: - 2 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a relevant PhD degree. - Experience conducting causal inference..."
li_4427491992,linkedin,Data Scientist | Remote,Crossing Hurdles,"[""Dashboard & Reporting"", ""Java/Python"", ""SQL""]",Application Process (Takes 20 Min) - Easy Apply on LinkedIn - Check email for next steps - Participate in resume evaluation & interview stage
li_4120820950,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4429968340,linkedin,Sr. Data Scientist,Roku,"[""Dashboard & Reporting"", ""Java/Python"", ""SQL"", ""Usability Testing""]","About the role Roku is looking for a Senior Data Scientist to join the Core Analytics team supporting UI Originals initiatives. In this role, you will support the UI Originals team by applying data science and analytics to shape content experiences that are uniquely Roku. The Roku Culture Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own."
li_4412870607,linkedin,Data Scientist 4/5 - Identity DSE,Netflix,"[""Java/Python"", ""Machine Learning"", ""SQL"", ""Usability Testing""]","Our Commerce Data Science team works with a broad range of collaborators and stakeholders, including Product, Engineering, and Finance, to inform commerce strategy and data-informed decision-making through analysis, metrics research, experimentation, causal inference, and modeling, but also through exceptional judgment, partnership, and business acumen. Our mission is to deliver a more consistent, accurate, and personalized experience for every individual who interacts with Netflix. We are..."
li_4120824568,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4427800396,linkedin,Data Scientist,Mastercard,"[""Agile/Scrum"", ""Cybersecurity"", ""ETL Process"", ""Java/Python"", ""Machine Learning"", ""Requirements Engineering"", ""SQL""]","We are looking for a Senior Data Scientist who brings deep technical expertise, a strong foundation in software engineering, and a passion for solving complex data challenges. About The Role We are looking for a Data Scientist with a strong foundation in both data science and data engineering. This role requires someone who can not only build predictive models but also design, develop, and maintain scalable data pipelines and infrastructure."
li_4417399632,linkedin,Machine Learning Engineer I,CNN,"[""AI Application"", ""CI/CD"", ""Java/Python"", ""Machine Learning"", ""Neural Network"", ""SQL"", ""Usability Testing"", ""Version Control""]","About CNN Digital CNN Digital is a global leader in news and information, reaching millions of users daily across web, mobile, and connected TV platforms. Our ML/AI team works at the intersection of journalism, technology, and user experience, building systems that help people discover and engage with the news that matters to them. Your New Role… CNN is seeking a Machine Learning Engineer I to build and deploy ML systems that power personalization, search, recommendations, and content..."
li_4120391416,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4435342046,linkedin,Data Scientist,Fanatics,"[""Dashboard & Reporting"", ""ETL Process"", ""Java/Python"", ""Machine Learning"", ""SQL"", ""Usability Testing"", ""Version Control""]","About Us Fanatics is building a leading global digital sports platform. We ignite the passions of global sports fans and maximize the presence and reach for our hundreds of sports partners globally by offering products and services across Fanatics Commerce, Fanatics Collectibles, and Fanatics Betting & Gaming, allowing sports fans to Buy, Collect, and Bet. Together, we are reimagining every part of the collectibles experience for fans, partners, and creators."
li_4412418474,linkedin,"Machine Learning Engineer, Entry",Paramount,"[""Machine Learning""]","Becoming a part of Paramount means joining a team of passionate people who not only recognize the power of content but also enjoy a touch of fun and uniqueness. Basic Qualifications - 3+ years in MLE. - Experience with GCP and MLFlow. - Proficiency in TensorFlow/PyTorch. - Knowledge with Vector DBs. - Proven ability to implement features that solve the ""Cold Start"" problem for new users. - Experience managing, tracking, and deploying experiments to ensure a high bar for reproducibility...."
li_4431265363,linkedin,Machine Learning Engineer,Mastech Digital,"[""AI Application"", ""Machine Learning"", ""Risk Management"", ""System Architecture""]","Senior Generative AI / Machine Learning Engineer We are seeking a Senior Generative AI / Machine Learning Engineer to join a collaborative team of data scientists and software engineers. This role focuses on designing, building, deploying, and supporting enterprise-grade AI solutions leveraging Large Language Models (LLMs) and Generative AI technologies. If you have a passion for building scalable, production-grade AI solutions and driving innovation with Generative AI, we encourage you to..."
li_4429459188,linkedin,Data Scientist - NLP,Analytica,"[""Agile/Scrum"", ""Classification"", ""Clustering"", ""Dashboard & Reporting"", ""Java/Python"", ""Machine Learning"", ""Neural Network"", ""Version Control""]","Analytica has been recognized by Inc. for 3 consecutive years as one of the 250 fastest growing business. Magazine each of the past three years as one of the 250 fastest-growing companies in the U.S. Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management consulting services."
li_4120819992,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4434678173,linkedin,Data Scientist,KNOWFINITY,"[""AI Application"", ""Classification"", ""Clustering"", ""Dashboard & Reporting"", ""Decision Tree/KNN/SVM"", ""Java/Python"", ""Machine Learning"", ""Neural Network"", ""Performance Measurement"", ""Predictive Modeling"", ""SQL"", ""Usability Testing""]","The ideal candidate should have hands-on experience in statistical analysis, predictive modeling, machine learning, and transforming complex data into actionable business insights within a fast-paced product environment. Preferred - Experience working in a product-based company. - Exposure to Generative AI, NLP, and Large Language Models (LLMs). - Experience with Spark, Databricks, and big data technologies. - Familiarity with MLOps tools and model deployment practices. - Experience with A/B..."
li_4423636367,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4120824556,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4120828049,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4422267823,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4432241333,linkedin,Machine Learning Engineer,Evolve Group,"[""Java/Python"", ""Machine Learning"", ""Neural Network""]","This role sits close to both machine learning research and production engineering. The work could include deep learning models, time series forecasting, signal generation, feature engineering, model evaluation, inference optimisation, training pipelines, data workflows, and production ML systems. Good backgrounds include: Strong Python and/or C++ Experience building, training, evaluating, or deploying machine learning models Exposure to deep learning, time series, NLP, reinforcement learning,..."
li_4431262789,linkedin,Research Scientist,KenkoTech Futures,"[""Java/Python"", ""Machine Learning""]","They are hiring a Research Engineer / Research Scientist to help build autonomous AI systems that can actively participate in scientific R&D workflows - generating hypotheses, gathering information, reasoning through complex problems, using tools, and helping researchers move faster from question to insight. This is a highly interdisciplinary role sitting at the intersection of agentic AI, foundation models, machine learning, software engineering, and scientific discovery."
li_4433238360,linkedin,Data Scientist,Toyota North America,"[""CI/CD"", ""Java/Python"", ""Machine Learning"", ""Predictive Modeling"", ""SQL"", ""Version Control""]","Toyota does not offer support or sponsorship of job applicants for employment-based visas or any other work authorization for this role now or in the future. You should not apply for this role if you will require Toyota to assist with immigration support or sponsorship now or in the future. This position is based at the Toyota Headquarters in Plano, TX with onsite work Monday-Thursday and remote work on Fridays Who We’re Looking For Toyota Financial Services is seeking highly motivated people..."
li_4120824514,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4425370205,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4120823523,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4431537817,linkedin,"Data Scientist, Research - multiple openings",Google,"[""Java/Python"", ""Machine Learning"", ""SQL""]","Position reports to the Google Mountain View, CA office & may allow for a hybrid schedule as per Google policy. Google Ads is helping power the open internet with the best technology that connects and creates value for people, publishers, advertisers, and Google. Our teams create trusted experiences between people and businesses with useful ads."
li_4429813701,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4432268274,linkedin,Machine Learning Engineer,Protech Talent,"[""AI Application"", ""Classification"", ""Java/Python"", ""Machine Learning"", ""SQL"", ""Web Framework""]","You’ll own projects end-to-end — from model selection and data pipelines to deployment, monitoring, and iteration in live environments. Expect full autonomy, high accountability, and constant cross-functional collaboration with product and operations teams. 💼 About the Company: This company is a fast-growing AI-driven healthcare startup on a mission to make life-changing therapies accessible faster and more affordably. The culture is intense, collaborative, and ownership-driven — ideal for..."
li_4436127057,linkedin,Data Scientist,The Coca-Cola Company,"[""Agile/Scrum"", ""Algorithm Design"", ""Java/Python"", ""Machine Learning"", ""Predictive Modeling"", ""SQL""]","A full range of medical, financial, and/or other benefits, dependent on the position, is offered. Annual Incentive Reference Value Percentage:15 Annual Incentive reference value is a market-based competitive value for your role. Long-term Incentive Reference Value Percentage:0 - 20 Long-term Incentive reference value is a market-based competitive value for your role"
li_4434941400,linkedin,Junior Machine Learning Engineer,Rolls-Royce,"[""AI Application"", ""Machine Learning""]","Job Description Job Title: Junior Machine Learning Engineer Working Pattern: Full-time Working location: Indianapolis, IN (Hybrid Schedule/3 days onsite minimum) We’re looking for a Junior Machine Learning Engineer to join our growing team. You’ll be part of a multi-disciplinary team, working together to tackle technical challenges in a stimulating and collaborative environment. This ranking highlights our commitment to innovation, employee development, and fostering a collaborative environment..."
li_4431276597,linkedin,Machine Learning Engineer,TEK Connexion,"[""AI Application"", ""Machine Learning"", ""Risk Management"", ""System Architecture""]","Position Title: Machine Learning Engineer Sr Position Location: (In order of preference): 5 days in office/onsite interview - Pittsburgh, PA - Strongsville, OH - Farmers Branch, TX You will work within a large team of data scientists and software engineers."
li_4412405389,linkedin,Data Scientist,ALICE + OLIVIA,"[""Classification"", ""Dashboard & Reporting"", ""ETL Process"", ""Java/Python"", ""Predictive Modeling"", ""SQL""]","This is a highly cross-functional role with direct, ongoing exposure to business stakeholders and end users, from planners and buyers who consume and act on model outputs, to the teams working within Foundry Workshop applications day-to-day. This role is focused on applied data science, decision-support modeling, and model operationalization, not reporting or core data engineering, while partnering closely with Engineering, BI, and the broader Enterprise Applications team. This role owns..."
li_4423630633,linkedin,"Data Scientist, Product Analytics",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Risk Assessment"", ""SQL""]","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the..."
li_4431280122,linkedin,Research Scientist,Kelly,[],"We stand up for equity, inclusion, fair treatment, and opportunity for all as these build the foundation of our Talent Promise. With a focus on safety, value, well-being, investment, and opportunity, Kelly’s Talent Promise confirms our commitment to those in search of a better way to work and live and to help discover what’s next. You should know: Vaccination against COVID-19 is a requirement for all job opportunities offered through Kelly Government Solutions, in accordance with the Executive..."
li_4434666359,linkedin,Product Designer,Recurly,"[""AI Application"", ""Agile/Scrum"", ""Classification"", ""Machine Learning"", ""UI Prototyping""]","About Recurly: Recurly, Inc., a SaaS company, provides a versatile subscription management platform to manage the entire subscription lifecycle for market-leading brands worldwide. As a Product Designer, you'll work closely with your product team to understand the business challenges our customers face, imagine valuable and viable solutions, and deliver artifacts for development. Product Design is part of the Recurly Product team, which also includes Product Management."
li_4433389682,linkedin,"Data Scientist, Product Analytics",Etsy,"[""Dashboard & Reporting"", ""Java/Python"", ""SQL""]","As an Etsy Inc. employee, whether a team member of Etsy or Depop, you will tackle unique, meaningful, and large-scale problems alongside passionate coworkers, all the while making a rewarding impact and Keeping Commerce Human. Join us as a Data Scientist, Product Analytics and play a pivotal role in redefining Etsy’s search experience. Working with the product and engineering teams, you’ll transform how buyers browse and find what they love—helping create meaningful connections between people..."
li_4416418158,linkedin,Product Designer,Truemed,"[""AI Application"", ""UI Prototyping"", ""UX Research""]","The Role Truemed helps people take control of their health by unlocking pre-tax HSA/FSA dollars for preventive care. As Product Designer, you will be responsible for the end-to-end experience across all of these surfaces alongside our design engineer. You think about AI as a design material, not just a productivity hack. - Systems thinker: You see patterns across surfaces and build for reuse."
li_4402246807,linkedin,Product Designer,Kake,"[""AI Application""]","We're partnering with an innovative product team exploring how AI is reshaping the way digital products are designed, built, and delivered. You'll combine strong product design fundamentals with AI-powered development workflows to rapidly prototype, validate, and ship experiences across web, mobile, and emerging AI-native interfaces. If you're excited about the future of product development and already using AI tools to build things in your work or personal projects, we'd love to talk."
