course_name,rank,job_id,job_title,job_company,job_source,course_job_score_max,explanation
Arsitektur Enterprise,1,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,1.8557,"'Arsitektur Enterprise' dinilai sangat relevan (skor rerank=1.86) terhadap lowongan 'Machine Learning (ML) Engineer', dengan kesamaan istilah pada: enterprise."
Arsitektur Enterprise,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,1.0489,"'Arsitektur Enterprise' dinilai sangat relevan (skor rerank=1.05) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Arsitektur Enterprise,3,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,0.6573,"'Arsitektur Enterprise' dinilai relevan (skor rerank=0.66) terhadap lowongan 'Software Engineer 2' secara semantik, meski tidak ada istilah eksplisit yang identik."
Arsitektur Enterprise,4,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,0.4154,"'Arsitektur Enterprise' dinilai cukup relevan (skor rerank=0.42) terhadap lowongan 'Machine Learning Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Arsitektur Enterprise,5,li_4346417366,Machine Learning Engineer,Happy Elements,linkedin,-0.11,"'Arsitektur Enterprise' dinilai kurang relevan (skor rerank=-0.11) terhadap lowongan 'Machine Learning Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Data Warehouse dan Business Intelligence,1,li_3815119724,Software,Bay Mortgage Services,linkedin,-0.9852,"'Data Warehouse dan Business Intelligence' dinilai kurang relevan (skor rerank=-0.99) terhadap lowongan 'Software', dengan kesamaan istilah pada: data, organization."
Data Warehouse dan Business Intelligence,2,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,-1.4075,"'Data Warehouse dan Business Intelligence' dinilai kurang relevan (skor rerank=-1.41) terhadap lowongan 'Software Developer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Data Warehouse dan Business Intelligence,3,gd_1010181109261,Informaticist 2,CenterWell Senior Primary Care,glassdoor,-1.5572,"'Data Warehouse dan Business Intelligence' dinilai kurang relevan (skor rerank=-1.56) terhadap lowongan 'Informaticist 2', dengan kesamaan istilah pada: organization, data."
Data Warehouse dan Business Intelligence,4,li_4434389490,Software Engineer,Carnegie Mellon University,linkedin,-1.8897,"'Data Warehouse dan Business Intelligence' dinilai kurang relevan (skor rerank=-1.89) terhadap lowongan 'Software Engineer', dengan kesamaan istilah pada: data, organization, enterprise."
Data Warehouse dan Business Intelligence,5,li_4435377657,Software Engineer,Software Engineering Institute | Carnegie Mellon University,linkedin,-1.8897,"'Data Warehouse dan Business Intelligence' dinilai kurang relevan (skor rerank=-1.89) terhadap lowongan 'Software Engineer', dengan kesamaan istilah pada: data, organization, enterprise."
Integrasi Aplikasi Enterprise,1,li_4411864449,ES Application Developer II,University of Houston,linkedin,5.4812,"'Integrasi Aplikasi Enterprise' dinilai sangat relevan (skor rerank=5.48) terhadap lowongan 'ES Application Developer II', dengan kesamaan istilah pada: enterprise."
Integrasi Aplikasi Enterprise,2,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,2.4128,"'Integrasi Aplikasi Enterprise' dinilai sangat relevan (skor rerank=2.41) terhadap lowongan 'Machine Learning (ML) Engineer', dengan kesamaan istilah pada: enterprise."
Integrasi Aplikasi Enterprise,3,li_4372153003,Applied ML Engineer,Kognitos,linkedin,2.2113,"'Integrasi Aplikasi Enterprise' dinilai sangat relevan (skor rerank=2.21) terhadap lowongan 'Applied ML Engineer', dengan kesamaan istilah pada: enterprise."
Integrasi Aplikasi Enterprise,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,0.4922,"'Integrasi Aplikasi Enterprise' dinilai cukup relevan (skor rerank=0.49) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Integrasi Aplikasi Enterprise,5,li_4436152639,"Enterprise Data & Analytics Analyst, Platform Engineering",First Hawaiian Bank,linkedin,0.1678,"'Integrasi Aplikasi Enterprise' dinilai kurang relevan (skor rerank=0.17) terhadap lowongan 'Enterprise Data & Analytics Analyst, Platform Engineering', dengan kesamaan istilah pada: enterprise."
Jaringan Komputer,1,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,-1.2024,"'Jaringan Komputer' dinilai kurang relevan (skor rerank=-1.20) terhadap lowongan 'Research Assistant I - Audibility, Perception and Cognition Laboratory' secara semantik, meski tidak ada istilah eksplisit yang identik."
Jaringan Komputer,2,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin,-3.2449,"'Jaringan Komputer' dinilai kurang relevan (skor rerank=-3.24) terhadap lowongan 'Machine Learning Operations Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Jaringan Komputer,3,li_4403509120,Software Engineer,KIHOMAC,linkedin,-3.511,"'Jaringan Komputer' dinilai kurang relevan (skor rerank=-3.51) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Jaringan Komputer,4,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-3.6951,"'Jaringan Komputer' dinilai kurang relevan (skor rerank=-3.70) terhadap lowongan 'Data Analyst (Data Management)' secara semantik, meski tidak ada istilah eksplisit yang identik."
Jaringan Komputer,5,li_4327166527,Computer Scientist - Mid,"Bluehawk LLC, Intelligence Services",linkedin,-3.7227,"'Jaringan Komputer' dinilai kurang relevan (skor rerank=-3.72) terhadap lowongan 'Computer Scientist - Mid' secara semantik, meski tidak ada istilah eksplisit yang identik."
Keamanan Sistem Informasi,1,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-1.2758,"'Keamanan Sistem Informasi' dinilai kurang relevan (skor rerank=-1.28) terhadap lowongan 'AI/ML Engineer — Job Posting', dengan kesamaan istilah pada: data."
Keamanan Sistem Informasi,2,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-1.4011,"'Keamanan Sistem Informasi' dinilai kurang relevan (skor rerank=-1.40) terhadap lowongan 'Data Analyst (Data Management)', dengan kesamaan istilah pada: data, enterprise."
Keamanan Sistem Informasi,3,li_3815119724,Software,Bay Mortgage Services,linkedin,-1.4208,"'Keamanan Sistem Informasi' dinilai kurang relevan (skor rerank=-1.42) terhadap lowongan 'Software', dengan kesamaan istilah pada: data."
Keamanan Sistem Informasi,4,li_4363726700,Software Engineer,Oso,linkedin,-2.5269,"'Keamanan Sistem Informasi' dinilai kurang relevan (skor rerank=-2.53) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Keamanan Sistem Informasi,5,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-2.8941,"'Keamanan Sistem Informasi' dinilai kurang relevan (skor rerank=-2.89) terhadap lowongan 'Software Engineer II (Maritime)', dengan kesamaan istilah pada: data, enterprise."
Manajemen Proyek Sistem Informasi,1,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,-1.4064,"'Manajemen Proyek Sistem Informasi' dinilai kurang relevan (skor rerank=-1.41) terhadap lowongan 'Research Assistant I - Audibility, Perception and Cognition Laboratory' secara semantik, meski tidak ada istilah eksplisit yang identik."
Manajemen Proyek Sistem Informasi,2,gd_1010139624650,Research Assistant 1- Word Learning Lab,Boys Town National Research Hospital,glassdoor,-3.1092,"'Manajemen Proyek Sistem Informasi' dinilai kurang relevan (skor rerank=-3.11) terhadap lowongan 'Research Assistant 1- Word Learning Lab' secara semantik, meski tidak ada istilah eksplisit yang identik."
Manajemen Proyek Sistem Informasi,3,li_3815119724,Software,Bay Mortgage Services,linkedin,-3.994,"'Manajemen Proyek Sistem Informasi' dinilai kurang relevan (skor rerank=-3.99) terhadap lowongan 'Software' secara semantik, meski tidak ada istilah eksplisit yang identik."
Manajemen Proyek Sistem Informasi,4,li_4430289828,Software Engineer II,Arcfield,linkedin,-4.6527,"'Manajemen Proyek Sistem Informasi' dinilai kurang relevan (skor rerank=-4.65) terhadap lowongan 'Software Engineer II' secara semantik, meski tidak ada istilah eksplisit yang identik."
Manajemen Proyek Sistem Informasi,5,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,-4.821,"'Manajemen Proyek Sistem Informasi' dinilai kurang relevan (skor rerank=-4.82) terhadap lowongan 'Software Engineer 2' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pemodelan Proses Bisnis,1,li_4429570401,Business Intelligence Analyst,Quanta Power Solutions,linkedin,-3.1577,"'Pemodelan Proses Bisnis' dinilai kurang relevan (skor rerank=-3.16) terhadap lowongan 'Business Intelligence Analyst', dengan kesamaan istilah pada: model."
Pemodelan Proses Bisnis,2,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin,-3.4422,"'Pemodelan Proses Bisnis' dinilai kurang relevan (skor rerank=-3.44) terhadap lowongan 'Machine Learning Operations Engineer', dengan kesamaan istilah pada: model."
Pemodelan Proses Bisnis,3,gd_1010109391172,AI Tutor - Tagalog,x.ai,glassdoor,-3.9255,"'Pemodelan Proses Bisnis' dinilai kurang relevan (skor rerank=-3.93) terhadap lowongan 'AI Tutor - Tagalog', dengan kesamaan istilah pada: model."
Pemodelan Proses Bisnis,4,li_4363726700,Software Engineer,Oso,linkedin,-4.4737,"'Pemodelan Proses Bisnis' dinilai kurang relevan (skor rerank=-4.47) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pemodelan Proses Bisnis,5,li_4409724477,Business Intelligence Analyst,Liebherr USA,linkedin,-4.6748,"'Pemodelan Proses Bisnis' dinilai kurang relevan (skor rerank=-4.67) terhadap lowongan 'Business Intelligence Analyst' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pemrograman Berorientasi Objek,1,li_4363726700,Software Engineer,Oso,linkedin,-0.9706,"'Pemrograman Berorientasi Objek' dinilai kurang relevan (skor rerank=-0.97) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pemrograman Berorientasi Objek,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-1.7492,"'Pemrograman Berorientasi Objek' dinilai kurang relevan (skor rerank=-1.75) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pemrograman Berorientasi Objek,3,li_4403509120,Software Engineer,KIHOMAC,linkedin,-1.82,"'Pemrograman Berorientasi Objek' dinilai kurang relevan (skor rerank=-1.82) terhadap lowongan 'Software Engineer', dengan kesamaan istilah pada: java."
Pemrograman Berorientasi Objek,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-1.8264,"'Pemrograman Berorientasi Objek' dinilai kurang relevan (skor rerank=-1.83) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pemrograman Berorientasi Objek,5,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-2.0271,"'Pemrograman Berorientasi Objek' dinilai kurang relevan (skor rerank=-2.03) terhadap lowongan 'AI/ML Engineer — Job Posting', dengan kesamaan istilah pada: java."
Penambangan Data,1,li_4429459188,Data Scientist - NLP,Analytica,linkedin,2.227,"'Penambangan Data' dinilai sangat relevan (skor rerank=2.23) terhadap lowongan 'Data Scientist - NLP', dengan kesamaan istilah pada: data, mining, python."
Penambangan Data,2,li_4425297677,Data Scientist,Google,linkedin,1.092,"'Penambangan Data' dinilai sangat relevan (skor rerank=1.09) terhadap lowongan 'Data Scientist', dengan kesamaan istilah pada: data, python."
Penambangan Data,3,li_4435439591,Data Analyst,DBD International,linkedin,0.5704,"'Penambangan Data' dinilai relevan (skor rerank=0.57) terhadap lowongan 'Data Analyst', dengan kesamaan istilah pada: data, python."
Penambangan Data,4,li_4419083864,Data Analyst - Rental,The Home Depot,linkedin,0.5326,"'Penambangan Data' dinilai cukup relevan (skor rerank=0.53) terhadap lowongan 'Data Analyst - Rental', dengan kesamaan istilah pada: data, mining, python."
Penambangan Data,5,li_4432106356,Data Analytics Specialist,Amentum,linkedin,0.2853,"'Penambangan Data' dinilai kurang relevan (skor rerank=0.29) terhadap lowongan 'Data Analytics Specialist', dengan kesamaan istilah pada: data, mining, python."
Pengantar Sistem Informasi,1,li_4428505624,Business Systems Analyst,CACI International Inc,linkedin,-0.4856,"'Pengantar Sistem Informasi' dinilai kurang relevan (skor rerank=-0.49) terhadap lowongan 'Business Systems Analyst' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pengantar Sistem Informasi,2,li_4435439591,Data Analyst,DBD International,linkedin,-2.3177,"'Pengantar Sistem Informasi' dinilai kurang relevan (skor rerank=-2.32) terhadap lowongan 'Data Analyst' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pengantar Sistem Informasi,3,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.6151,"'Pengantar Sistem Informasi' dinilai kurang relevan (skor rerank=-2.62) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pengantar Sistem Informasi,4,li_4434016802,Back End Developer,Cooler Master USA,linkedin,-2.7991,"'Pengantar Sistem Informasi' dinilai kurang relevan (skor rerank=-2.80) terhadap lowongan 'Back End Developer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pengantar Sistem Informasi,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.9722,"'Pengantar Sistem Informasi' dinilai kurang relevan (skor rerank=-2.97) terhadap lowongan 'Software' secara semantik, meski tidak ada istilah eksplisit yang identik."
Pengembangan Aplikasi Website,1,li_4427706568,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,5.6519,"'Pengembangan Aplikasi Website' dinilai sangat relevan (skor rerank=5.65) terhadap lowongan 'Web Developer (HTML,CSS) | Remote', dengan kesamaan istilah pada: web, html, css, bootstrap."
Pengembangan Aplikasi Website,2,li_4414938843,Web Apps Developer,Halvik,linkedin,3.5002,"'Pengembangan Aplikasi Website' dinilai sangat relevan (skor rerank=3.50) terhadap lowongan 'Web Apps Developer', dengan kesamaan istilah pada: web, html, css, bootstrap."
Pengembangan Aplikasi Website,3,li_4426358084,Full Stack Developer,Levin Furniture & Mattress,linkedin,3.2634,"'Pengembangan Aplikasi Website' dinilai sangat relevan (skor rerank=3.26) terhadap lowongan 'Full Stack Developer', dengan kesamaan istilah pada: html, css, web, database."
Pengembangan Aplikasi Website,4,li_4402733831,Full Stack Developer,Scientific Research Corporation,linkedin,2.1327,"'Pengembangan Aplikasi Website' dinilai sangat relevan (skor rerank=2.13) terhadap lowongan 'Full Stack Developer', dengan kesamaan istilah pada: web, html, css, website."
Pengembangan Aplikasi Website,5,li_4427730735,UI Frontend Developer,Unissant,linkedin,1.6203,"'Pengembangan Aplikasi Website' dinilai sangat relevan (skor rerank=1.62) terhadap lowongan 'UI Frontend Developer', dengan kesamaan istilah pada: web, html, css."
Pengembangan Sistem Cerdas,1,li_4387561209,AI Engineer,Avid Technology Professionals,linkedin,3.1608,"'Pengembangan Sistem Cerdas' dinilai sangat relevan (skor rerank=3.16) terhadap lowongan 'AI Engineer', dengan kesamaan istilah pada: learning."
Pengembangan Sistem Cerdas,2,li_4423127415,Machine Learning Engineer,Oho Group,linkedin,2.1751,"'Pengembangan Sistem Cerdas' dinilai sangat relevan (skor rerank=2.18) terhadap lowongan 'Machine Learning Engineer', dengan kesamaan istilah pada: learning."
Pengembangan Sistem Cerdas,3,li_4432488212,Machine Learning Engineer,Harrison Clarke,linkedin,2.0623,"'Pengembangan Sistem Cerdas' dinilai sangat relevan (skor rerank=2.06) terhadap lowongan 'Machine Learning Engineer', dengan kesamaan istilah pada: learning, decision."
Pengembangan Sistem Cerdas,4,gd_1007506508998,Science Policy Postdocs,European Business Reliance Centre,glassdoor,1.8885,"'Pengembangan Sistem Cerdas' dinilai sangat relevan (skor rerank=1.89) terhadap lowongan 'Science Policy Postdocs', dengan kesamaan istilah pada: project, decision, based, network."
Pengembangan Sistem Cerdas,5,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,1.6618,"'Pengembangan Sistem Cerdas' dinilai sangat relevan (skor rerank=1.66) terhadap lowongan 'Machine Learning Engineer', dengan kesamaan istilah pada: learning."
Perancangan Interaksi,1,li_4431711270,UX Designer,MDAEdge,linkedin,3.3702,"'Perancangan Interaksi' dinilai sangat relevan (skor rerank=3.37) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: tools, figma."
Perancangan Interaksi,2,li_4431725005,UX Designer,MDAEdge,linkedin,1.8737,"'Perancangan Interaksi' dinilai sangat relevan (skor rerank=1.87) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: usability, testing, figma, tools."
Perancangan Interaksi,3,li_4433350882,Figma Designer,TekValue IT Solutions,linkedin,1.7834,"'Perancangan Interaksi' dinilai sangat relevan (skor rerank=1.78) terhadap lowongan 'Figma Designer', dengan kesamaan istilah pada: figma."
Perancangan Interaksi,4,li_4433193265,UX Designer,Scale.jobs,linkedin,1.6087,"'Perancangan Interaksi' dinilai sangat relevan (skor rerank=1.61) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: figma, usability, tools."
Perancangan Interaksi,5,li_4401451723,Experience Designer,EGO,linkedin,1.3348,"'Perancangan Interaksi' dinilai sangat relevan (skor rerank=1.33) terhadap lowongan 'Experience Designer', dengan kesamaan istilah pada: usability, figma."
Proyek Perangkat Lunak,1,li_4418898971,Software Engineer II (Frontend),"Scribd, Inc.",linkedin,-1.8334,"'Proyek Perangkat Lunak' dinilai kurang relevan (skor rerank=-1.83) terhadap lowongan 'Software Engineer II (Frontend)', dengan kesamaan istilah pada: framework, product, enterprise."
Proyek Perangkat Lunak,2,li_4419003903,Software Engineer II (Frontend),"Scribd, Inc.",linkedin,-1.8334,"'Proyek Perangkat Lunak' dinilai kurang relevan (skor rerank=-1.83) terhadap lowongan 'Software Engineer II (Frontend)', dengan kesamaan istilah pada: framework, product, enterprise."
Proyek Perangkat Lunak,3,li_4419576589,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572,"'Proyek Perangkat Lunak' dinilai kurang relevan (skor rerank=-1.86) terhadap lowongan 'Software Engineer (Backend), Content Foundations', dengan kesamaan istilah pada: framework, product, enterprise."
Proyek Perangkat Lunak,4,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572,"'Proyek Perangkat Lunak' dinilai kurang relevan (skor rerank=-1.86) terhadap lowongan 'Software Engineer (Backend), Content Foundations', dengan kesamaan istilah pada: framework, product, enterprise."
Proyek Perangkat Lunak,5,li_4419568698,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572,"'Proyek Perangkat Lunak' dinilai kurang relevan (skor rerank=-1.86) terhadap lowongan 'Software Engineer (Backend), Content Foundations', dengan kesamaan istilah pada: framework, product, enterprise."
Rekayasa Proses Bisnis,1,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,0.5643,"'Rekayasa Proses Bisnis' dinilai relevan (skor rerank=0.56) terhadap lowongan 'Data Analyst (Data Management)', dengan kesamaan istilah pada: enterprise."
Rekayasa Proses Bisnis,2,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-1.8968,"'Rekayasa Proses Bisnis' dinilai kurang relevan (skor rerank=-1.90) terhadap lowongan 'Business Analyst' secara semantik, meski tidak ada istilah eksplisit yang identik."
Rekayasa Proses Bisnis,3,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-1.8968,"'Rekayasa Proses Bisnis' dinilai kurang relevan (skor rerank=-1.90) terhadap lowongan 'Business Analyst' secara semantik, meski tidak ada istilah eksplisit yang identik."
Rekayasa Proses Bisnis,4,li_4363726700,Software Engineer,Oso,linkedin,-2.8215,"'Rekayasa Proses Bisnis' dinilai kurang relevan (skor rerank=-2.82) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Rekayasa Proses Bisnis,5,li_4424958127,Product Designer,Plot,linkedin,-3.3801,"'Rekayasa Proses Bisnis' dinilai kurang relevan (skor rerank=-3.38) terhadap lowongan 'Product Designer', dengan kesamaan istilah pada: enterprise."
Sistem Basis Data,1,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.922,"'Sistem Basis Data' dinilai kurang relevan (skor rerank=-2.92) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Sistem Basis Data,2,li_4363726700,Software Engineer,Oso,linkedin,-2.9232,"'Sistem Basis Data' dinilai kurang relevan (skor rerank=-2.92) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Sistem Basis Data,3,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-2.987,"'Sistem Basis Data' dinilai kurang relevan (skor rerank=-2.99) terhadap lowongan 'Business Analyst', dengan kesamaan istilah pada: data."
Sistem Basis Data,4,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-2.987,"'Sistem Basis Data' dinilai kurang relevan (skor rerank=-2.99) terhadap lowongan 'Business Analyst', dengan kesamaan istilah pada: data."
Sistem Basis Data,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-3.0999,"'Sistem Basis Data' dinilai kurang relevan (skor rerank=-3.10) terhadap lowongan 'Software', dengan kesamaan istilah pada: data."
Sistem Enterprise,1,li_4363726700,Software Engineer,Oso,linkedin,0.9984,"'Sistem Enterprise' dinilai sangat relevan (skor rerank=1.00) terhadap lowongan 'Software Engineer', dengan kesamaan istilah pada: software."
Sistem Enterprise,2,li_4429955515,Product Designer,Conduct,linkedin,0.7079,"'Sistem Enterprise' dinilai relevan (skor rerank=0.71) terhadap lowongan 'Product Designer', dengan kesamaan istilah pada: enterprise, software."
Sistem Enterprise,3,li_4387607502,"Software Engineer, Full Stack",Boom Supersonic,linkedin,0.7032,"'Sistem Enterprise' dinilai relevan (skor rerank=0.70) terhadap lowongan 'Software Engineer, Full Stack', dengan kesamaan istilah pada: software, enterprise."
Sistem Enterprise,4,li_4433708125,Software Engineer,Albert Bow,linkedin,0.0204,"'Sistem Enterprise' dinilai kurang relevan (skor rerank=0.02) terhadap lowongan 'Software Engineer', dengan kesamaan istilah pada: software."
Sistem Enterprise,5,li_4205003719,Software Engineer,Middesk,linkedin,-0.108,"'Sistem Enterprise' dinilai kurang relevan (skor rerank=-0.11) terhadap lowongan 'Software Engineer', dengan kesamaan istilah pada: software."
Sistem Informasi Akuntansi,1,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-0.3324,"'Sistem Informasi Akuntansi' dinilai kurang relevan (skor rerank=-0.33) terhadap lowongan 'Business Analyst' secara semantik, meski tidak ada istilah eksplisit yang identik."
Sistem Informasi Akuntansi,2,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-0.3324,"'Sistem Informasi Akuntansi' dinilai kurang relevan (skor rerank=-0.33) terhadap lowongan 'Business Analyst' secara semantik, meski tidak ada istilah eksplisit yang identik."
Sistem Informasi Akuntansi,3,li_4428505624,Business Systems Analyst,CACI International Inc,linkedin,-1.4296,"'Sistem Informasi Akuntansi' dinilai kurang relevan (skor rerank=-1.43) terhadap lowongan 'Business Systems Analyst' secara semantik, meski tidak ada istilah eksplisit yang identik."
Sistem Informasi Akuntansi,4,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-1.7127,"'Sistem Informasi Akuntansi' dinilai kurang relevan (skor rerank=-1.71) terhadap lowongan 'Data Analyst (Data Management)', dengan kesamaan istilah pada: enterprise."
Sistem Informasi Akuntansi,5,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-2.6846,"'Sistem Informasi Akuntansi' dinilai kurang relevan (skor rerank=-2.68) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Sistem Operasi,1,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,1.9842,"'Sistem Operasi' dinilai sangat relevan (skor rerank=1.98) terhadap lowongan 'Software Developer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Sistem Operasi,2,li_3815119724,Software,Bay Mortgage Services,linkedin,1.1739,"'Sistem Operasi' dinilai sangat relevan (skor rerank=1.17) terhadap lowongan 'Software', dengan kesamaan istilah pada: organization."
Sistem Operasi,3,li_4410318166,JOB-6719,ALTEN,linkedin,-0.5028,"'Sistem Operasi' dinilai kurang relevan (skor rerank=-0.50) terhadap lowongan 'JOB-6719' secara semantik, meski tidak ada istilah eksplisit yang identik."
Sistem Operasi,4,li_4375997156,Data Analyst,Chubb,linkedin,-0.5378,"'Sistem Operasi' dinilai kurang relevan (skor rerank=-0.54) terhadap lowongan 'Data Analyst', dengan kesamaan istilah pada: organization."
Sistem Operasi,5,li_4426669408,Software Developer,Zekiah Technologies,linkedin,-0.9885,"'Sistem Operasi' dinilai kurang relevan (skor rerank=-0.99) terhadap lowongan 'Software Developer' secara semantik, meski tidak ada istilah eksplisit yang identik."
